# path	owner	reference_count	api_families	compile_gate	behavior_gate	disposition
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WPayment.java	zkwebui	11	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WQuickEntrySheet.java	zkwebui	9	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WStocktake.java	zkwebui	7	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WTreeMaintenance.java	zkwebui	11	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WTrialBalance.java	zkwebui	15	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WTrxMaterial.java	zkwebui	7	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/graph/WDocumentStatusIndicator.java	zkwebui	4	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/graph/WDocumentStatusPanel.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/graph/WGraph.java	zkwebui	22	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/graph/WPAPanel.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/graph/WPerformanceIndicator.java	zkwebui	7	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/wf/WFEditor.java	zkwebui	9	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/wf/WFPanel.java	zkwebui	12	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/wf/WWFActivity.java	zkwebui	11	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/wf/WWFIcon.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/AuRequests.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/Combobox2Default.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/HtmlEditor.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/ListModelExt.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/Portalchildren.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/Portallayout.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/SimpleTreeModel.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/SimpleTreeNode.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/ZkCompat.java	zkwebui	8	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/timeline/BandScrollEvent.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/timeline/Bandinfo.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/compat/timeline/Timeline.java	zkwebui	2	ce-core	5d	5g	migrate-source
