session_alias,repository_identity,branch_at_creation,session_summary,session_created_at_utc,session_updated_at_utc,session_elapsed_seconds,model,api_calls,ai_credits,measured_active_ai_seconds,first_model_use_at_utc,last_model_use_at_utc,inclusion_status,telemetry_status
CLI-017,samqbush/adempiere2,develop,Plan Next Phase of Modernization,2026-08-26T01:33:55.755Z,2026-08-27T04:08:17.514Z,95661.759,claude-opus-5,946,14190,12107.281,2026-08-26T01:40:40.489Z,2026-08-26T18:27:57.915Z,measured_cli,complete_cloud_session_model_aggregate
CLI-017,samqbush/adempiere2,develop,Plan Next Phase of Modernization,2026-08-26T01:33:55.755Z,2026-08-27T04:08:17.514Z,95661.759,claude-sonnet-4.6,21,21,381.052,2026-08-26T02:20:32.526Z,2026-08-26T02:28:32.296Z,measured_cli,complete_cloud_session_model_aggregate
CLI-018,samqbush/adempiere2,phase-5e-cohort-routing,Fix CI in Pull Request,2026-08-27T14:21:53.501Z,2026-08-27T15:15:04.720Z,3191.219,gpt-5.6-sol,27,27,179.39,2026-08-27T14:22:38.820Z,2026-08-27T14:59:02.894Z,measured_cli,complete_cloud_session_model_aggregate
CLI-019,samqbush/adempiere2,develop,Plan Next Phase of Modernization,2026-08-27T15:15:35.115Z,2026-08-28T13:07:11.371Z,78696.256,gpt-5.6-sol,795,795,5631.267,2026-08-27T15:16:02.085Z,2026-08-28T13:07:10.693Z,measured_cli,complete_cloud_session_model_aggregate
CLI-019,samqbush/adempiere2,develop,Plan Next Phase of Modernization,2026-08-27T15:15:35.115Z,2026-08-28T13:07:11.371Z,78696.256,claude-opus-5,24,360,301.063,2026-08-27T15:21:50.811Z,2026-08-27T15:28:04.052Z,measured_cli,complete_cloud_session_model_aggregate
CLI-019,samqbush/adempiere2,develop,Plan Next Phase of Modernization,2026-08-27T15:15:35.115Z,2026-08-28T13:07:11.371Z,78696.256,claude-sonnet-4.6,68,68,1349.299,2026-08-27T16:44:56.474Z,2026-08-27T18:56:47.088Z,measured_cli,complete_cloud_session_model_aggregate
CLI-020,samqbush/adempiere2,phase-5f-jakarta-web-routes,Fix CI Pipeline Issues,2026-08-28T15:54:20.693Z,2026-08-30T21:11:11.925Z,191811.232,gpt-5.6-sol,405,405,2691.883,2026-08-28T15:54:41.653Z,2026-08-29T21:30:22.718Z,measured_cli,complete_cloud_session_model_aggregate
CLI-020,samqbush/adempiere2,phase-5f-jakarta-web-routes,Fix CI Pipeline Issues,2026-08-28T15:54:20.693Z,2026-08-30T21:11:11.925Z,191811.232,claude-opus-5,165,2475,1297.384,2026-08-30T20:05:52.188Z,2026-08-30T21:10:54.295Z,measured_cli,complete_cloud_session_model_aggregate
CLI-021,samqbush/adempiere2,phase-5f-jakarta-web-routes,Investigate Long-Running Session,2026-08-29T22:03:33.758Z,2026-08-30T01:24:23.617Z,12049.859,claude-opus-5,144,2160,1795.31,2026-08-29T22:04:12.205Z,2026-08-30T00:16:54.456Z,measured_cli,complete_cloud_session_model_aggregate
CLI-021,samqbush/adempiere2,phase-5f-jakarta-web-routes,Investigate Long-Running Session,2026-08-29T22:03:33.758Z,2026-08-30T01:24:23.617Z,12049.859,claude-sonnet-4.6,13,13,352.117,2026-08-29T23:16:36.654Z,2026-08-30T00:15:14.762Z,measured_cli,complete_cloud_session_model_aggregate
CLI-022,samqbush/adempiere2,phase-5f-jakarta-web-routes,Review CI Build Process,2026-08-30T01:14:15.085Z,2026-08-30T14:03:37.214Z,46162.129,claude-opus-5,288,4320,2174.811,2026-08-30T01:15:20.126Z,2026-08-30T04:56:25.098Z,measured_cli,complete_cloud_session_model_aggregate
CLI-022,samqbush/adempiere2,phase-5f-jakarta-web-routes,Review CI Build Process,2026-08-30T01:14:15.085Z,2026-08-30T14:03:37.214Z,46162.129,gpt-5.6-sol,11,11,120.629,2026-08-30T01:24:44.569Z,2026-08-30T01:26:57.601Z,measured_cli,complete_cloud_session_model_aggregate
CLI-023,samqbush/adempiere2,phase-5f-jakarta-web-routes,Investigate PR Merge Issues,2026-08-30T14:04:05.129Z,2026-08-30T18:16:35.865Z,15150.736,claude-opus-5,171,2565,1908.428,2026-08-30T14:04:48.738Z,2026-08-30T18:08:52.871Z,measured_cli,complete_cloud_session_model_aggregate
CLI-023,samqbush/adempiere2,phase-5f-jakarta-web-routes,Investigate PR Merge Issues,2026-08-30T14:04:05.129Z,2026-08-30T18:16:35.865Z,15150.736,gpt-5.6-sol,12,12,143.499,2026-08-30T16:52:06.662Z,2026-08-30T16:54:44.395Z,measured_cli,complete_cloud_session_model_aggregate
CLI-024,samqbush/adempiere2,phase-5f-jakarta-web-routes,Implement GitHub Actions CI,2026-08-30T22:36:36.784Z,2026-08-31T13:12:20.765Z,52543.981,claude-opus-5,886,13290,8374.758,2026-08-30T22:37:35.671Z,2026-08-31T13:01:22.233Z,measured_cli,complete_cloud_session_model_aggregate
CLI-024,samqbush/adempiere2,phase-5f-jakarta-web-routes,Implement GitHub Actions CI,2026-08-30T22:36:36.784Z,2026-08-31T13:12:20.765Z,52543.981,gpt-5.6-sol,9,9,154.381,2026-08-30T22:49:41.716Z,2026-08-30T22:52:29.813Z,measured_cli,complete_cloud_session_model_aggregate
CLI-025,samqbush/adempiere2,develop,Continue Modernization Plan Phase,2026-08-31T13:12:49.323Z,2026-08-31T16:15:10.802Z,10941.479,gpt-5.6-sol,18,18,168.626,2026-08-31T13:13:09.896Z,2026-08-31T13:34:47.892Z,measured_cli,complete_cloud_session_model_aggregate
CLI-025,samqbush/adempiere2,develop,Continue Modernization Plan Phase,2026-08-31T13:12:49.323Z,2026-08-31T16:15:10.802Z,10941.479,claude-opus-5,270,4050,2414.263,2026-08-31T13:13:36.203Z,2026-08-31T14:32:46.085Z,measured_cli,complete_cloud_session_model_aggregate
CLI-026,samqbush/adempiere2,phase-5g-0-reconcile-and-discover,Project Progress Overview,2026-08-31T15:06:57.247Z,2026-09-05T23:29:39.000Z,462161.753,gpt-5.6-sol,1660,1660,3061.428,2026-08-31T15:08:30.704Z,2026-09-05T23:29:37.285Z,measured_and_reconstructed_cli,cloud_prefix_plus_local_api_calls_active_runtime_is_cloud_prefix_only
CLI-026,samqbush/adempiere2,phase-5g-0-reconcile-and-discover,Project Progress Overview,2026-08-31T15:06:57.247Z,2026-09-05T23:29:39.000Z,462161.753,claude-opus-4.8,14,210,243.047,2026-09-04T12:50:56.230Z,2026-09-04T12:55:05.412Z,measured_cli,complete_cloud_session_model_aggregate
CLI-026,samqbush/adempiere2,phase-5g-0-reconcile-and-discover,Project Progress Overview,2026-08-31T15:06:57.247Z,2026-09-05T23:29:39.000Z,462161.753,claude-sonnet-5,269,269,1233.191,2026-09-04T14:29:03.721Z,2026-09-04T20:46:33.285Z,measured_and_reconstructed_cli,cloud_prefix_plus_local_api_calls_active_runtime_is_cloud_prefix_only
CLI-026,samqbush/adempiere2,phase-5g-0-reconcile-and-discover,Project Progress Overview,2026-08-31T15:06:57.247Z,2026-09-05T23:29:39.000Z,462161.753,gpt-5.6-luna,4,4,,2026-09-05T06:05:57.796Z,2026-09-05T06:06:32.640Z,measured_and_reconstructed_cli,local_api_calls_active_runtime_unavailable
CLI-027,samqbush/adempiere2,phase-5g-0-reconcile-and-discover,Fix CI for PR 13,2026-08-31T16:27:05.624Z,2026-08-31T18:18:24.698Z,6679.074,claude-opus-5,23,345,106.356,2026-08-31T16:27:18.547Z,2026-08-31T18:03:27.054Z,measured_cli,complete_cloud_session_model_aggregate
CLI-028,samqbush/adempiere2,develop,Continue Modernization Plan Phase,2026-08-31T18:18:43.808Z,2026-08-31T23:18:10.702Z,17966.894,claude-opus-5,189,2835,2161.995,2026-08-31T18:19:09.140Z,2026-08-31T21:12:54.091Z,measured_cli,complete_cloud_session_model_aggregate
